TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
119263,Pinus radiata :: Monterey Pine,495X Lakeshore Dr,Median : Yard,,10x30,,
22346,Lophostemon confertus :: Brisbane Box,5280 03rd St,Sidewalk: Curb side : Cutout,3,3x3,37.7295482207565,-122.392689419827
23567,Platanus x hispanica :: Sycamore: London Plane,2975 Van Ness Ave,Sidewalk: Curb side : Cutout,3,3X3,37.8030467266869,-122.425063628702
10933,Lophostemon confertus :: Brisbane Box,1359 Hudson Ave,Sidewalk: Curb side : Cutout,12,3X4,37.7374318223223,-122.384063092353
28375,Magnolia grandiflora :: Southern Magnolia,3014 Sacramento St,Sidewalk: Curb side : Cutout,3,3x3,37.7887579085949,-122.442978542939
17325,Fraxinus americana :: American Ash,150 Otis St,Sidewalk: Curb side : Cutout,3,3x3,37.7709543699737,-122.420355751511
25725,Platanus x hispanica :: Sycamore: London Plane,729 Grove St,Sidewalk: Curb side : Cutout,12,3X3,37.7770527158877,-122.428697236196
188665,Acacia melanoxylon :: Blackwood Acacia,2175X Palou Ave,Sidewalk: Curb side : Cutout,37,,37.7406066539877,-122.402212916691
6251,Acacia melanoxylon :: Blackwood Acacia,1315 Ellis St,Sidewalk: Curb side : Cutout,24,3X3,37.7828532389184,-122.428176124144
9895,Eucalyptus Spp :: Eucalyptus,1800X Pine St,Sidewalk: Curb side : Cutout,18,3X3,37.7889474242075,-122.426360597873
220007,Acacia baileyana :: Bailey's Acacia,929 Valencia St,Sidewalk: Curb side : Cutout,1,Width 3ft,37.7579627654961,-122.421110461684
18916,Olea europaea :: Olive Tree,2621 Sacramento St,Sidewalk: Curb side : Cutout,14,6x5,37.7895026155894,-122.4361187581
228561,Lophostemon confertus :: Brisbane Box,700 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7615653191939,-122.421675835773
6337,Metrosideros excelsa :: New Zealand Xmas Tree,1916 Ellis St,Sidewalk: Curb side : Cutout,18,3X3,37.7817583075946,-122.437768878541
832,Lagunaria patersonii :: Primrose Tree,1396 47th Ave,Sidewalk: Curb side : Cutout,3,3X3,37.7605442750604,-122.506932728621
26071,Melaleuca quinquenervia :: Cajeput,247 Orizaba Ave,Sidewalk: Curb side : Cutout,3,3X3,37.7134297247264,-122.462650238241
11606,Lagunaria patersonii :: Primrose Tree,4200x Judah St,Sidewalk: Curb side : Cutout,3,3X3,37.7604509471428,-122.507135818078
24532,Lagunaria patersonii :: Primrose Tree,1395 47th Ave,Sidewalk: Curb side : Cutout,3,3X3,37.7607233666377,-122.507091481475
5972,Pittosporum undulatum :: Victorian Box,1550 Eddy St,Sidewalk: Curb side : Cutout,8,3X3,37.7813844410266,-122.433110458849
830,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1384 47th Ave,Sidewalk: Curb side : Cutout,3,5.5x6.5,37.7607163481902,-122.506944712409
21682,Prunus serrulata :: Ornamental Cherry,1830 Sutter St,Sidewalk: Curb side : Cutout,3,4x4,37.7865157709252,-122.43054034167
29943,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',242 Broad St,Sidewalk: Curb side : Cutout,3,3x3,37.7132339790874,-122.460559423837
11582,Lagunaria patersonii :: Primrose Tree,4000 Judah St,Sidewalk: Curb side : Cutout,3,3X3,37.7605501938414,-122.505003612665
175044,Metrosideros excelsa :: New Zealand Xmas Tree,80x Junipero Serra Blvd,Sidewalk: Curb side : Cutout,19,Width 3ft,37.7115804269636,-122.470973377029
17881,Olea europaea :: Olive Tree,2205 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.7880667103656,-122.432237297056
24515,Lophostemon confertus :: Brisbane Box,2030 Fell St,Sidewalk: Curb side : Cutout,3,3X3,37.7723810166729,-122.45133412385
2985,Platanus x hispanica :: Sycamore: London Plane,2253 California St,Sidewalk: Curb side : Cutout,65,3X3,37.7891249759711,-122.431429279776
182083,Lagunaria patersonii :: Primrose Tree,1101 Taraval St,Sidewalk: Curb side : Cutout,3,Width 0ft,37.7428580801695,-122.478007744126
9914,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1900 Gough St,Sidewalk: Curb side : Cutout,126,3X3,37.7911641319684,-122.425778932349
93463,Prunus x 'Amanogawa' :: Flowering Cherry,1739 Taraval St,Sidewalk: Curb side : Cutout,3,3x3,37.7425539090053,-122.484928867121
15429,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2125 Mission St,Sidewalk: Curb side : Cutout,15,4X4,37.7629606169132,-122.419385998784
138359,Ficus retusa nitida :: Banyan Fig,2060 SUTTER ST,Sidewalk: Curb side : Cutout,15,Width 0ft,37.7860784126894,-122.433864291751
251248,Corymbia ficifolia :: Red Flowering Gum,829 Chenery St,Sidewalk: Curb side : Cutout,,3x3,37.7347771581377,-122.436066227259
251245,Corymbia ficifolia :: Red Flowering Gum,701 Chenery St,Sidewalk: Curb side : Cutout,,,37.7344536174122,-122.433896153002
103786,Magnolia grandiflora :: Southern Magnolia,1221 Polk St,Sidewalk: Curb side : Pot,3,3x3,37.7881014522033,-122.420267712778
138805,Ulmus parvifolia :: Chinese Elm,2355 PINE ST,Sidewalk: Curb side : Cutout,11,Width 0ft,37.787752342886,-122.434736117903
138800,Maytenus boaria :: Mayten,2375 PINE ST,Sidewalk: Curb side : Cutout,7,Width 0ft,37.7876955676952,-122.435116665287
11423,Metrosideros excelsa :: New Zealand Xmas Tree,722X Mendell St,Sidewalk: Curb side : Cutout,0,3X3,37.7388728426488,-122.38660458641
13622,Platanus x hispanica :: Sycamore: London Plane,562 Market St,Sidewalk: Curb side : Cutout,18,4x4,37.7896877563436,-122.401085198325
26932,Pittosporum undulatum :: Victorian Box,1570 Golden Gate Ave,Sidewalk: Curb side : Cutout,3,3X3,37.7790770280177,-122.43632769329
2654,Maytenus boaria :: Mayten,1988 Bush St,Sidewalk: Curb side : Cutout,12,3X3,37.7875549020514,-122.429951242636
2928,Platanus x hispanica :: Sycamore: London Plane,1834 California St,Sidewalk: Curb side : Cutout,25,3X3,37.7901773571486,-122.424602385305
251250,Prunus amygdalus :: Almond,321X Corbett Ave,Front Yard : Yard,,10x10,37.7600926500434,-122.444594033425
24634,Pyrus calleryana :: Ornamental Pear,507 Divisadero St,Sidewalk: Curb side : Cutout,3,3x3,37.7743817021919,-122.437783152308
182864,Tree(s) ::,1674 27th Ave,Sidewalk: Curb side : Cutout,1,Width 0ft,37.7562473553988,-122.485133888104
19810,Araucaria heterophylla :: Norfolk Island Pine,100 STAIRWAY24,Sidewalk: Curb side : Cutout,12,100ST,,
818,Metrosideros excelsa :: New Zealand Xmas Tree,1385 45th Ave,Sidewalk: Curb side : Cutout,35,4x4,37.7607799675436,-122.504955867812
9598,Maytenus boaria :: Mayten,1350 Golden Gate Ave,Sidewalk: Curb side : Cutout,12,3X3,37.7795222347306,-122.43282272297
10157,Ligustrum lucidum :: Glossy Privet,995 Guerrero St,Sidewalk: Curb side : Cutout,12,3x3,37.7553867222415,-122.423086804612
129605,Ligustrum lucidum :: Glossy Privet,2101 Van Ness Ave,Sidewalk: Curb side : Cutout,10,Width 4ft,37.7952168215458,-122.423486859933
9421,Lophostemon confertus :: Brisbane Box,701X Golden Gate Ave,Sidewalk: Curb side : Cutout,12,3x3,37.7806825946662,-122.422598636412
18021,Ficus retusa nitida :: Banyan Fig,2725 Pine St,Sidewalk: Curb side : Cutout,12,3X3,37.7869282913907,-122.441128056615
230412,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,310 Dolores St,Sidewalk: Curb side : Cutout,1,Width 6ft,37.7644435373721,-122.426516892666
